iter	Logloss
170	0.1340533838
171	0.1340290795
172	0.1340195413
173	0.1340114261
174	0.1339873344
175	0.1339691742
176	0.133949011
177	0.1339463918
178	0.1339225385
179	0.1338987153
180	0.1338725375
181	0.1338485138
182	0.1338109831
183	0.1337630485
184	0.1337313979
185	0.1336991511
186	0.1336903915
187	0.1336463725
188	0.1336296549
189	0.13359944
190	0.1335707517
191	0.1335531956
192	0.1335192373
193	0.1334932453
194	0.1334763223
195	0.1334479159
196	0.133424224
197	0.1333991553
198	0.1333792821
199	0.1333518322
200	0.1333315363
201	0.1332999947
202	0.133283989
203	0.1332804246
204	0.1332544931
205	0.133222815
206	0.1332098479
207	0.1331983254
208	0.1331681108
209	0.1331464781
210	0.1331356954
211	0.1331153434
212	0.133097404
213	0.133092515
214	0.1330725397
215	0.1330374153
216	0.1330263157
217	0.1329944768
218	0.1329736817
219	0.1329432102
220	0.132916293
221	0.1329008895
222	0.1328848924
223	0.1328631728
224	0.1328446267
225	0.1328432098
226	0.1328214488
227	0.1327983153
228	0.1327503735
229	0.1327335608
230	0.1327174503
231	0.132699051
232	0.1326884635
233	0.1326722849
234	0.1326560948
235	0.1326401472
236	0.1326292535
237	0.1326089253
238	0.1325832556
239	0.1325513375
240	0.1325294029
241	0.1325029243
242	0.1324662226
243	0.1324425319
244	0.1324170991
245	0.1323801613
246	0.132377236
247	0.1323506644
248	0.132335257
249	0.1323280412
250	0.1323120406
251	0.1322970109
252	0.1322768226
253	0.13227402
254	0.1322453605
255	0.1322171446
256	0.132182906
257	0.1321517399
258	0.1321239327
259	0.1321107248
260	0.1320869274
261	0.1320439959
262	0.1320126029
263	0.1319955067
264	0.1319718574
265	0.131936794
266	0.1319119883
267	0.1318995651
268	0.1318792845
269	0.1318612446
270	0.1318584103
271	0.1318379852
272	0.131835715
273	0.1318163017
274	0.1317644889
275	0.1317488706
276	0.1317251289
277	0.1316921633
278	0.1316626678
279	0.1316505763
280	0.1316279839
281	0.1315831692
282	0.1315665511
283	0.1315462301
284	0.131524033
285	0.1314977021
286	0.1314802969
287	0.1314538024
288	0.1314273534
289	0.1314212377
290	0.1313773774
291	0.1313579266
292	0.1313426186
293	0.1313122099
294	0.1312854532
295	0.1312693521
296	0.1312598291
297	0.1312501694
298	0.1312401599
299	0.1312264785
300	0.1312099184
301	0.1312009637
302	0.1311719897
303	0.1311692705
304	0.1311470316
305	0.1311290851
306	0.1311146876
307	0.1310968491
308	0.1310697968
309	0.1310577344
310	0.1310339987
311	0.1310170657
312	0.1309994857
313	0.1309838838
314	0.1309686781
315	0.1309402383
316	0.1309211874
317	0.1309086272
318	0.1308823203
319	0.1308507111
320	0.1308194061
321	0.1307964997
322	0.1307726219
323	0.130758025
324	0.1307415748
325	0.1307257226
326	0.1307067116
327	0.1306810706
328	0.1306684608
329	0.1306481734
330	0.1306212386
331	0.1306093266
332	0.1305892283
333	0.1305668559
334	0.130557253
335	0.1305248
336	0.1305157794
337	0.1304935554
338	0.1304698859
339	0.1304512319
340	0.1304191624
341	0.130392945
342	0.1303754135
343	0.1303630211
344	0.1303437243
345	0.1303262738
346	0.130312653
347	0.1302824045
348	0.1302620096
349	0.1302247322
350	0.1302036128
351	0.1301881502
352	0.1301746998
353	0.1301559133
354	0.1301232014
355	0.1301118294
356	0.1300813904
357	0.1300581154
358	0.1300402295
359	0.130021965
360	0.1299978139
361	0.129993846
362	0.1299869303
363	0.1299575793
364	0.1299454909
365	0.1299321653
366	0.1299292527
367	0.1299229238
368	0.1299020933
369	0.1298790654
370	0.129867799
371	0.1298454641
372	0.12982408
373	0.1298122113
374	0.1297869333
375	0.1297743145
376	0.1297594841
377	0.1297300283
378	0.1297100843
379	0.129687465
380	0.129675849
381	0.1296465451
382	0.12963002
383	0.1296087076
384	0.1296002765
385	0.1295827324
386	0.1295584384
387	0.1295452338
388	0.1295288047
389	0.1295010723
390	0.129472977
391	0.1294541817
392	0.1294259363
393	0.1293974053
394	0.1293821971
395	0.1293547939
396	0.1293233428
397	0.1292729366
398	0.1292627041
399	0.1292360235
400	0.1292111592
401	0.1291910376
402	0.1291673174
403	0.1291534667
404	0.1291353666
405	0.1291181955
406	0.1291031606
407	0.1290783511
408	0.1290520736
409	0.1290389745
410	0.1290198564
411	0.1290149027
412	0.128998037
413	0.1289673835
414	0.1289550965
415	0.1289451281
416	0.1289204094
417	0.1289026047
418	0.1288604241
419	0.1288537445
420	0.1288309877
421	0.1288090099
422	0.1287833293
423	0.1287688166
424	0.128744201
425	0.1287337759
426	0.1287119129
427	0.128685227
428	0.1286519403
429	0.1286371185
430	0.1286201063
431	0.1285919611
432	0.1285788246
433	0.1285721888
434	0.1285464888
435	0.1285269077
436	0.1285086094
437	0.128507171
438	0.1284847658
439	0.1284641378
440	0.1284520112
441	0.1284320504
442	0.1284112311
443	0.1283821794
444	0.1283639739
445	0.128343438
446	0.1283238898
447	0.1283120186
448	0.1282971298
449	0.1282840678
450	0.1282635281
451	0.1282419739
452	0.1282280705
453	0.1282156318
454	0.1282029988
455	0.1282014744
456	0.1281777528
457	0.1281551506
458	0.1281481041
459	0.128128309
460	0.1281108183
461	0.1281015233
462	0.1280737548
463	0.1280609479
464	0.1280523573
465	0.1280257483
466	0.1280202623
467	0.1280045028
468	0.1279754352
469	0.1279569054
470	0.1279355233
471	0.1279301766
472	0.127919323
473	0.1279003261
474	0.127886716
475	0.1278639964
476	0.1278422789
477	0.1278216675
478	0.1277981351
479	0.1277656706
480	0.1277488008
481	0.1277369891
482	0.1277242087
483	0.1277069625
484	0.1276902407
485	0.1276752799
486	0.1276492515
487	0.1276300697
488	0.1276099436
489	0.1275990591
490	0.1275670233
491	0.1275541784
492	0.1275351237
493	0.1275222363
